Genero,Edad,CCAA,Periodo,Total
Total,Todas las edades,Canarias,2019,6
Total,Todas las edades,Canarias,2018,2
Total,Todas las edades,Canarias,2017,7
Total,Todas las edades,Canarias,2016,13
Total,Todas las edades,Canarias,2015,6
Total,Todas las edades,Canarias,2014,9
Total,Todas las edades,Canarias,2013,5
Total,Todas las edades,Canarias,2012,9
Total,Todas las edades,Canarias,2011,8
Total,Todas las edades,Canarias,2010,3
Total,Todas las edades,Canarias,2009,3
Total,Todas las edades,Canarias,2008,10
Total,Todas las edades,Canarias,2007,9
Total,Todas las edades,Canarias,2006,6
Total,Todas las edades,Canarias,2005,7
Total,Todas las edades,Canarias,2004,5
Total,Todas las edades,Canarias,2003,7
Total,Todas las edades,Canarias,2002,8
Total,Todas las edades,Canarias,2001,5
Total,Todas las edades,Canarias,2000,10
Total,Todas las edades,Canarias,1999,6
Total,Todas las edades,Canarias,1998,4
Total,Todas las edades,Canarias,1997,5
Total,Todas las edades,Canarias,1996,10
Total,Todas las edades,Canarias,1995,15
Total,Todas las edades,Canarias,1994,7
Total,Todas las edades,Canarias,1993,8
Total,Todas las edades,Canarias,1992,12
Total,Todas las edades,Canarias,1991,6
Total,Todas las edades,Canarias,1990,11
Total,Todas las edades,Canarias,1989,11
Total,Todas las edades,Canarias,1988,15
Total,Todas las edades,Canarias,1987,6
Total,Todas las edades,Canarias,1986,8
Total,Todas las edades,Canarias,1985,8
Total,Todas las edades,Canarias,1984,33
Total,Todas las edades,Canarias,1983,10
Total,Todas las edades,Canarias,1982,11
Total,Todas las edades,Canarias,1981,11
Total,Todas las edades,Canarias,1980,13
Total,Todas las edades,Cantabria,2022,4
Total,Todas las edades,Cantabria,2021,2
Total,Todas las edades,Cantabria,2020,1
Total,Todas las edades,Cantabria,2019,4
Total,Todas las edades,Cantabria,2018,6
Total,Todas las edades,Cantabria,2017,3
Total,Todas las edades,Cantabria,2016,1
Total,Todas las edades,Cantabria,2015,3
Total,Todas las edades,Cantabria,2014,1
Total,Todas las edades,Cantabria,2013,1
Total,Todas las edades,Cantabria,2012,2
Total,Todas las edades,Cantabria,2011,5
Total,Todas las edades,Cantabria,2010,3
Total,Todas las edades,Cantabria,2009,0
Total,Todas las edades,Cantabria,2008,2
Total,Todas las edades,Cantabria,2007,2
Total,Todas las edades,Cantabria,2006,3
Total,Todas las edades,Cantabria,2005,1
Total,Todas las edades,Cantabria,2004,2
Total,Todas las edades,Cantabria,2003,1
Total,Todas las edades,Cantabria,2002,2
Total,Todas las edades,Cantabria,2001,2
Total,Todas las edades,Cantabria,2000,5
Total,Todas las edades,Cantabria,1999,6
Total,Todas las edades,Cantabria,1998,2
Total,Todas las edades,Cantabria,1997,4
Total,Todas las edades,Cantabria,1996,9
Total,Todas las edades,Cantabria,1995,1
Total,Todas las edades,Cantabria,1994,3
Total,Todas las edades,Cantabria,1993,1
Total,Todas las edades,Cantabria,1992,4
