Genero,Edad,CCAA,Periodo,Total
Mujeres,Todas las edades,Illes Balears,2005,3
Mujeres,Todas las edades,Illes Balears,2004,4
Mujeres,Todas las edades,Illes Balears,2003,4
Mujeres,Todas las edades,Illes Balears,2002,2
Mujeres,Todas las edades,Illes Balears,2001,3
Mujeres,Todas las edades,Illes Balears,2000,0
Mujeres,Todas las edades,Illes Balears,1999,2
Mujeres,Todas las edades,Illes Balears,1998,0
Mujeres,Todas las edades,Illes Balears,1997,3
Mujeres,Todas las edades,Illes Balears,1996,1
Mujeres,Todas las edades,Illes Balears,1995,2
Mujeres,Todas las edades,Illes Balears,1994,0
Mujeres,Todas las edades,Illes Balears,1993,3
Mujeres,Todas las edades,Illes Balears,1992,0
Mujeres,Todas las edades,Illes Balears,1991,1
Mujeres,Todas las edades,Illes Balears,1990,2
Mujeres,Todas las edades,Illes Balears,1989,1
Mujeres,Todas las edades,Illes Balears,1988,1
Mujeres,Todas las edades,Illes Balears,1987,3
Mujeres,Todas las edades,Illes Balears,1986,1
Mujeres,Todas las edades,Illes Balears,1985,3
Mujeres,Todas las edades,Illes Balears,1984,2
Mujeres,Todas las edades,Illes Balears,1983,2
Mujeres,Todas las edades,Illes Balears,1982,3
Mujeres,Todas las edades,Illes Balears,1981,4
Mujeres,Todas las edades,Illes Balears,1980,9
Mujeres,Todas las edades,Canarias,2022,0
Mujeres,Todas las edades,Canarias,2021,0
Mujeres,Todas las edades,Canarias,2020,2
Mujeres,Todas las edades,Canarias,2019,2
Mujeres,Todas las edades,Canarias,2018,1
Mujeres,Todas las edades,Canarias,2017,4
Mujeres,Todas las edades,Canarias,2016,2
Mujeres,Todas las edades,Canarias,2015,2
Mujeres,Todas las edades,Canarias,2014,5
Mujeres,Todas las edades,Canarias,2013,0
Mujeres,Todas las edades,Canarias,2012,3
Mujeres,Todas las edades,Canarias,2011,3
Mujeres,Todas las edades,Canarias,2010,0
Mujeres,Todas las edades,Canarias,2009,0
Mujeres,Todas las edades,Canarias,2008,4
Mujeres,Todas las edades,Canarias,2007,2
Mujeres,Todas las edades,Canarias,2006,1
Mujeres,Todas las edades,Canarias,2005,2
Mujeres,Todas las edades,Canarias,2004,3
Mujeres,Todas las edades,Canarias,2003,2
Mujeres,Todas las edades,Canarias,2002,3
Mujeres,Todas las edades,Canarias,2001,2
Mujeres,Todas las edades,Canarias,2000,6
Mujeres,Todas las edades,Canarias,1999,4
Mujeres,Todas las edades,Canarias,1998,0
Mujeres,Todas las edades,Canarias,1997,2
Mujeres,Todas las edades,Canarias,1996,4
Mujeres,Todas las edades,Canarias,1995,4
Mujeres,Todas las edades,Canarias,1994,0
Mujeres,Todas las edades,Canarias,1993,2
Mujeres,Todas las edades,Canarias,1992,2
Mujeres,Todas las edades,Canarias,1991,2
Mujeres,Todas las edades,Canarias,1990,3
Mujeres,Todas las edades,Canarias,1989,2
Mujeres,Todas las edades,Canarias,1988,4
Mujeres,Todas las edades,Canarias,1987,1
Mujeres,Todas las edades,Canarias,1986,4
Mujeres,Todas las edades,Canarias,1985,2
Mujeres,Todas las edades,Canarias,1984,8
Mujeres,Todas las edades,Canarias,1983,4
Mujeres,Todas las edades,Canarias,1982,6
Mujeres,Todas las edades,Canarias,1981,5
Mujeres,Todas las edades,Canarias,1980,6
Mujeres,Todas las edades,Cantabria,2022,2
Mujeres,Todas las edades,Cantabria,2021,0
Mujeres,Todas las edades,Cantabria,2020,0
Mujeres,Todas las edades,Cantabria,2019,0
Mujeres,Todas las edades,Cantabria,2018,2
Mujeres,Todas las edades,Cantabria,2017,2
Mujeres,Todas las edades,Cantabria,2016,1
Mujeres,Todas las edades,Cantabria,2015,2
Mujeres,Todas las edades,Cantabria,2014,0
Mujeres,Todas las edades,Cantabria,2013,0
Mujeres,Todas las edades,Cantabria,2012,0
Mujeres,Todas las edades,Cantabria,2011,2
Mujeres,Todas las edades,Cantabria,2010,2
Mujeres,Todas las edades,Cantabria,2009,0
Mujeres,Todas las edades,Cantabria,2008,1
Mujeres,Todas las edades,Cantabria,2007,2
Mujeres,Todas las edades,Cantabria,2006,1
Mujeres,Todas las edades,Cantabria,2005,0
Mujeres,Todas las edades,Cantabria,2004,1
Mujeres,Todas las edades,Cantabria,2003,0
Mujeres,Todas las edades,Cantabria,2002,2
Mujeres,Todas las edades,Cantabria,2001,0
Mujeres,Todas las edades,Cantabria,2000,2
Mujeres,Todas las edades,Cantabria,1999,4
Mujeres,Todas las edades,Cantabria,1998,2
Mujeres,Todas las edades,Cantabria,1997,1
Mujeres,Todas las edades,Cantabria,1996,4
Mujeres,Todas las edades,Cantabria,1995,1
Mujeres,Todas las edades,Cantabria,1994,1
Mujeres,Todas las edades,Cantabria,1993,0
Mujeres,Todas las edades,Cantabria,1992,1
Mujeres,Todas las edades,Cantabria,1991,0
Mujeres,Todas las edades,Cantabria,1990,2
Mujeres,Todas las edades,Cantabria,1989,1
Mujeres,Todas las edades,Cantabria,1988,0
Mujeres,Todas las edades,Cantabria,1987,2
Mujeres,Todas las edades,Cantabria,1986,1
Mujeres,Todas las edades,Cantabria,1985,3
Mujeres,Todas las edades,Cantabria,1984,4
Mujeres,Todas las edades,Cantabria,1983,3
Mujeres,Todas las edades,Cantabria,1982,3
Mujeres,Todas las edades,Cantabria,1981,1
Mujeres,Todas las edades,Cantabria,1980,3
Mujeres,Todas las edades,Castilla y León,2022,5
Mujeres,Todas las edades,Castilla y León,2021,5
Mujeres,Todas las edades,Castilla y León,2020,4
Mujeres,Todas las edades,Castilla y León,2019,5
Mujeres,Todas las edades,Castilla y León,2018,2
Mujeres,Todas las edades,Castilla y León,2017,6
Mujeres,Todas las edades,Castilla y León,2016,8
Mujeres,Todas las edades,Castilla y León,2015,4
Mujeres,Todas las edades,Castilla y León,2014,2
Mujeres,Todas las edades,Castilla y León,2013,8
Mujeres,Todas las edades,Castilla y León,2012,2
Mujeres,Todas las edades,Castilla y León,2011,2
Mujeres,Todas las edades,Castilla y León,2010,3
Mujeres,Todas las edades,Castilla y León,2009,8
Mujeres,Todas las edades,Castilla y León,2008,7
Mujeres,Todas las edades,Castilla y León,2007,7
Mujeres,Todas las edades,Castilla y León,2006,5
Mujeres,Todas las edades,Castilla y León,2005,4
Mujeres,Todas las edades,Castilla y León,2004,12
Mujeres,Todas las edades,Castilla y León,2003,4
Mujeres,Todas las edades,Castilla y León,2002,1
Mujeres,Todas las edades,Castilla y León,2001,2
Mujeres,Todas las edades,Castilla y León,2000,8
Mujeres,Todas las edades,Castilla y León,1999,5
Mujeres,Todas las edades,Castilla y León,1998,9
Mujeres,Todas las edades,Castilla y León,1997,6
Mujeres,Todas las edades,Castilla y León,1996,7
Mujeres,Todas las edades,Castilla y León,1995,2
Mujeres,Todas las edades,Castilla y León,1994,6
Mujeres,Todas las edades,Castilla y León,1993,12
Mujeres,Todas las edades,Castilla y León,1992,11
Mujeres,Todas las edades,Castilla y León,1991,9
Mujeres,Todas las edades,Castilla y León,1990,13
Mujeres,Todas las edades,Castilla y León,1989,6
Mujeres,Todas las edades,Castilla y León,1988,10
Mujeres,Todas las edades,Castilla y León,1987,7
Mujeres,Todas las edades,Castilla y León,1986,6
Mujeres,Todas las edades,Castilla y León,1985,4
Mujeres,Todas las edades,Castilla y León,1984,9
Mujeres,Todas las edades,Castilla y León,1983,10
Mujeres,Todas las edades,Castilla y León,1982,7
Mujeres,Todas las edades,Castilla y León,1981,15
Mujeres,Todas las edades,Castilla y León,1980,11
Mujeres,Todas las edades,Castilla - La Mancha,2022,5
Mujeres,Todas las edades,Castilla - La Mancha,2021,1
Mujeres,Todas las edades,Castilla - La Mancha,2020,4
Mujeres,Todas las edades,Castilla - La Mancha,2019,3
Mujeres,Todas las edades,Castilla - La Mancha,2018,1
Mujeres,Todas las edades,Castilla - La Mancha,2017,6
Mujeres,Todas las edades,Castilla - La Mancha,2016,1
Mujeres,Todas las edades,Castilla - La Mancha,2015,5
Mujeres,Todas las edades,Castilla - La Mancha,2014,3
Mujeres,Todas las edades,Castilla - La Mancha,2013,3
Mujeres,Todas las edades,Castilla - La Mancha,2012,1
Mujeres,Todas las edades,Castilla - La Mancha,2011,5
Mujeres,Todas las edades,Castilla - La Mancha,2010,2
Mujeres,Todas las edades,Castilla - La Mancha,2009,1
Mujeres,Todas las edades,Castilla - La Mancha,2008,1
Mujeres,Todas las edades,Castilla - La Mancha,2007,9
Mujeres,Todas las edades,Castilla - La Mancha,2006,1
Mujeres,Todas las edades,Castilla - La Mancha,2005,5
Mujeres,Todas las edades,Castilla - La Mancha,2004,4
Mujeres,Todas las edades,Castilla - La Mancha,2003,6
Mujeres,Todas las edades,Castilla - La Mancha,2002,2
Mujeres,Todas las edades,Castilla - La Mancha,2001,0
Mujeres,Todas las edades,Castilla - La Mancha,2000,2
Mujeres,Todas las edades,Castilla - La Mancha,1999,4
Mujeres,Todas las edades,Castilla - La Mancha,1998,2
Mujeres,Todas las edades,Castilla - La Mancha,1997,3
Mujeres,Todas las edades,Castilla - La Mancha,1996,7
Mujeres,Todas las edades,Castilla - La Mancha,1995,3
Mujeres,Todas las edades,Castilla - La Mancha,1994,6
Mujeres,Todas las edades,Castilla - La Mancha,1993,3
Mujeres,Todas las edades,Castilla - La Mancha,1992,2
Mujeres,Todas las edades,Castilla - La Mancha,1991,5
Mujeres,Todas las edades,Castilla - La Mancha,1990,5
Mujeres,Todas las edades,Castilla - La Mancha,1989,7
Mujeres,Todas las edades,Castilla - La Mancha,1988,3
Mujeres,Todas las edades,Castilla - La Mancha,1987,5
Mujeres,Todas las edades,Castilla - La Mancha,1986,5
Mujeres,Todas las edades,Castilla - La Mancha,1985,8
Mujeres,Todas las edades,Castilla - La Mancha,1984,10
Mujeres,Todas las edades,Castilla - La Mancha,1983,4
Mujeres,Todas las edades,Castilla - La Mancha,1982,6
Mujeres,Todas las edades,Castilla - La Mancha,1981,7
Mujeres,Todas las edades,Castilla - La Mancha,1980,9
Mujeres,Todas las edades,Cataluña,2022,23
Mujeres,Todas las edades,Cataluña,2021,15
Mujeres,Todas las edades,Cataluña,2020,9
Mujeres,Todas las edades,Cataluña,2019,15
Mujeres,Todas las edades,Cataluña,2018,7
Mujeres,Todas las edades,Cataluña,2017,7
Mujeres,Todas las edades,Cataluña,2016,15
Mujeres,Todas las edades,Cataluña,2015,9
Mujeres,Todas las edades,Cataluña,2014,7
Mujeres,Todas las edades,Cataluña,2013,12
Mujeres,Todas las edades,Cataluña,2012,19
Mujeres,Todas las edades,Cataluña,2011,5
Mujeres,Todas las edades,Cataluña,2010,5
Mujeres,Todas las edades,Cataluña,2009,10
Mujeres,Todas las edades,Cataluña,2008,8
Mujeres,Todas las edades,Cataluña,2007,3
Mujeres,Todas las edades,Cataluña,2006,4
Mujeres,Todas las edades,Cataluña,2005,2
Mujeres,Todas las edades,Cataluña,2004,11
Mujeres,Todas las edades,Cataluña,2003,10
Mujeres,Todas las edades,Cataluña,2002,8
Mujeres,Todas las edades,Cataluña,2001,14
Mujeres,Todas las edades,Cataluña,2000,10
Mujeres,Todas las edades,Cataluña,1999,11
Mujeres,Todas las edades,Cataluña,1998,9
Mujeres,Todas las edades,Cataluña,1997,12
Mujeres,Todas las edades,Cataluña,1996,8
Mujeres,Todas las edades,Cataluña,1995,10
Mujeres,Todas las edades,Cataluña,1994,16
Mujeres,Todas las edades,Cataluña,1993,15
Mujeres,Todas las edades,Cataluña,1992,12
Mujeres,Todas las edades,Cataluña,1991,10
Mujeres,Todas las edades,Cataluña,1990,16
Mujeres,Todas las edades,Cataluña,1989,18
Mujeres,Todas las edades,Cataluña,1988,16
Mujeres,Todas las edades,Cataluña,1987,13
Mujeres,Todas las edades,Cataluña,1986,8
Mujeres,Todas las edades,Cataluña,1985,13
Mujeres,Todas las edades,Cataluña,1984,13
Mujeres,Todas las edades,Cataluña,1983,22
Mujeres,Todas las edades,Cataluña,1982,9
Mujeres,Todas las edades,Cataluña,1981,15
Mujeres,Todas las edades,Cataluña,1980,14
Mujeres,Todas las edades,Comunitat Valenciana,2022,24
Mujeres,Todas las edades,Comunitat Valenciana,2021,9
Mujeres,Todas las edades,Comunitat Valenciana,2020,9
Mujeres,Todas las edades,Comunitat Valenciana,2019,10
Mujeres,Todas las edades,Comunitat Valenciana,2018,9
Mujeres,Todas las edades,Comunitat Valenciana,2017,15
Mujeres,Todas las edades,Comunitat Valenciana,2016,8
Mujeres,Todas las edades,Comunitat Valenciana,2015,8
Mujeres,Todas las edades,Comunitat Valenciana,2014,6
Mujeres,Todas las edades,Comunitat Valenciana,2013,6
Mujeres,Todas las edades,Comunitat Valenciana,2012,7
Mujeres,Todas las edades,Comunitat Valenciana,2011,8
Mujeres,Todas las edades,Comunitat Valenciana,2010,10
Mujeres,Todas las edades,Comunitat Valenciana,2009,8
Mujeres,Todas las edades,Comunitat Valenciana,2008,10
Mujeres,Todas las edades,Comunitat Valenciana,2007,7
Mujeres,Todas las edades,Comunitat Valenciana,2006,11
Mujeres,Todas las edades,Comunitat Valenciana,2005,10
Mujeres,Todas las edades,Comunitat Valenciana,2004,8
Mujeres,Todas las edades,Comunitat Valenciana,2003,5
Mujeres,Todas las edades,Comunitat Valenciana,2002,7
Mujeres,Todas las edades,Comunitat Valenciana,2001,4
Mujeres,Todas las edades,Comunitat Valenciana,2000,15
Mujeres,Todas las edades,Comunitat Valenciana,1999,9
Mujeres,Todas las edades,Comunitat Valenciana,1998,10
Mujeres,Todas las edades,Comunitat Valenciana,1997,10
Mujeres,Todas las edades,Comunitat Valenciana,1996,6
Mujeres,Todas las edades,Comunitat Valenciana,1995,3
Mujeres,Todas las edades,Comunitat Valenciana,1994,8
Mujeres,Todas las edades,Comunitat Valenciana,1993,11
Mujeres,Todas las edades,Comunitat Valenciana,1992,4
Mujeres,Todas las edades,Comunitat Valenciana,1991,7
Mujeres,Todas las edades,Comunitat Valenciana,1990,7
Mujeres,Todas las edades,Comunitat Valenciana,1989,6
Mujeres,Todas las edades,Comunitat Valenciana,1988,8
Mujeres,Todas las edades,Comunitat Valenciana,1987,10
Mujeres,Todas las edades,Comunitat Valenciana,1986,6
Mujeres,Todas las edades,Comunitat Valenciana,1985,8
Mujeres,Todas las edades,Comunitat Valenciana,1984,9
Mujeres,Todas las edades,Comunitat Valenciana,1983,6
Mujeres,Todas las edades,Comunitat Valenciana,1982,6
Mujeres,Todas las edades,Comunitat Valenciana,1981,17
Mujeres,Todas las edades,Comunitat Valenciana,1980,19
Mujeres,Todas las edades,Extremadura,2022,4
Mujeres,Todas las edades,Extremadura,2021,6
Mujeres,Todas las edades,Extremadura,2020,2
Mujeres,Todas las edades,Extremadura,2019,3
Mujeres,Todas las edades,Extremadura,2018,0
Mujeres,Todas las edades,Extremadura,2017,0
Mujeres,Todas las edades,Extremadura,2016,3
Mujeres,Todas las edades,Extremadura,2015,1
Mujeres,Todas las edades,Extremadura,2014,2
Mujeres,Todas las edades,Extremadura,2013,3
Mujeres,Todas las edades,Extremadura,2012,1
Mujeres,Todas las edades,Extremadura,2011,1
Mujeres,Todas las edades,Extremadura,2010,0
Mujeres,Todas las edades,Extremadura,2009,0
Mujeres,Todas las edades,Extremadura,2008,1
Mujeres,Todas las edades,Extremadura,2007,2
Mujeres,Todas las edades,Extremadura,2006,3
Mujeres,Todas las edades,Extremadura,2005,2
Mujeres,Todas las edades,Extremadura,2004,0
Mujeres,Todas las edades,Extremadura,2003,3
Mujeres,Todas las edades,Extremadura,2002,3
Mujeres,Todas las edades,Extremadura,2001,2
Mujeres,Todas las edades,Extremadura,2000,0
Mujeres,Todas las edades,Extremadura,1999,0
Mujeres,Todas las edades,Extremadura,1998,4
Mujeres,Todas las edades,Extremadura,1997,1
Mujeres,Todas las edades,Extremadura,1996,2
Mujeres,Todas las edades,Extremadura,1995,2
Mujeres,Todas las edades,Extremadura,1994,2
Mujeres,Todas las edades,Extremadura,1993,2
Mujeres,Todas las edades,Extremadura,1992,3
Mujeres,Todas las edades,Extremadura,1991,2
Mujeres,Todas las edades,Extremadura,1990,1
Mujeres,Todas las edades,Extremadura,1989,5
Mujeres,Todas las edades,Extremadura,1988,6
Mujeres,Todas las edades,Extremadura,1987,4
Mujeres,Todas las edades,Extremadura,1986,9
Mujeres,Todas las edades,Extremadura,1985,1
Mujeres,Todas las edades,Extremadura,1984,7
Mujeres,Todas las edades,Extremadura,1983,1
Mujeres,Todas las edades,Extremadura,1982,3
Mujeres,Todas las edades,Extremadura,1981,3
Mujeres,Todas las edades,Extremadura,1980,3
Mujeres,Todas las edades,Galicia,2022,10
Mujeres,Todas las edades,Galicia,2021,5
Mujeres,Todas las edades,Galicia,2020,5
Mujeres,Todas las edades,Galicia,2019,9
Mujeres,Todas las edades,Galicia,2018,7
Mujeres,Todas las edades,Galicia,2017,7
Mujeres,Todas las edades,Galicia,2016,6
Mujeres,Todas las edades,Galicia,2015,8
Mujeres,Todas las edades,Galicia,2014,3
Mujeres,Todas las edades,Galicia,2013,5
Mujeres,Todas las edades,Galicia,2012,4
Mujeres,Todas las edades,Galicia,2011,4
Mujeres,Todas las edades,Galicia,2010,7
Mujeres,Todas las edades,Galicia,2009,8
Mujeres,Todas las edades,Galicia,2008,12
Mujeres,Todas las edades,Galicia,2007,6
Mujeres,Todas las edades,Galicia,2006,11
Mujeres,Todas las edades,Galicia,2005,9
Mujeres,Todas las edades,Galicia,2004,13
Mujeres,Todas las edades,Galicia,2003,14
Mujeres,Todas las edades,Galicia,2002,6
Mujeres,Todas las edades,Galicia,2001,4
Mujeres,Todas las edades,Galicia,2000,12
Mujeres,Todas las edades,Galicia,1999,11
Mujeres,Todas las edades,Galicia,1998,10
Mujeres,Todas las edades,Galicia,1997,14
Mujeres,Todas las edades,Galicia,1996,10
Mujeres,Todas las edades,Galicia,1995,10
Mujeres,Todas las edades,Galicia,1994,16
Mujeres,Todas las edades,Galicia,1993,11
Mujeres,Todas las edades,Galicia,1992,21
Mujeres,Todas las edades,Galicia,1991,16
Mujeres,Todas las edades,Galicia,1990,15
Mujeres,Todas las edades,Galicia,1989,15
Mujeres,Todas las edades,Galicia,1988,9
Mujeres,Todas las edades,Galicia,1987,11
Mujeres,Todas las edades,Galicia,1986,17
Mujeres,Todas las edades,Galicia,1985,18
Mujeres,Todas las edades,Galicia,1984,13
Mujeres,Todas las edades,Galicia,1983,11
Mujeres,Todas las edades,Galicia,1982,15
Mujeres,Todas las edades,Galicia,1981,14
Mujeres,Todas las edades,Galicia,1980,7
Mujeres,Todas las edades,Comunidad de Madrid,2022,8
Mujeres,Todas las edades,Comunidad de Madrid,2021,2
Mujeres,Todas las edades,Comunidad de Madrid,2020,8
Mujeres,Todas las edades,Comunidad de Madrid,2019,4
Mujeres,Todas las edades,Comunidad de Madrid,2018,6
Mujeres,Todas las edades,Comunidad de Madrid,2017,5
Mujeres,Todas las edades,Comunidad de Madrid,2016,2
Mujeres,Todas las edades,Comunidad de Madrid,2015,2
Mujeres,Todas las edades,Comunidad de Madrid,2014,7
Mujeres,Todas las edades,Comunidad de Madrid,2013,4
Mujeres,Todas las edades,Comunidad de Madrid,2012,2
Mujeres,Todas las edades,Comunidad de Madrid,2011,2
Mujeres,Todas las edades,Comunidad de Madrid,2010,4
Mujeres,Todas las edades,Comunidad de Madrid,2009,4
Mujeres,Todas las edades,Comunidad de Madrid,2008,7
Mujeres,Todas las edades,Comunidad de Madrid,2007,4
Mujeres,Todas las edades,Comunidad de Madrid,2006,7
Mujeres,Todas las edades,Comunidad de Madrid,2005,4
Mujeres,Todas las edades,Comunidad de Madrid,2004,2
Mujeres,Todas las edades,Comunidad de Madrid,2003,7
Mujeres,Todas las edades,Comunidad de Madrid,2002,5
Mujeres,Todas las edades,Comunidad de Madrid,2001,5
Mujeres,Todas las edades,Comunidad de Madrid,2000,3
Mujeres,Todas las edades,Comunidad de Madrid,1999,6
Mujeres,Todas las edades,Comunidad de Madrid,1998,3
Mujeres,Todas las edades,Comunidad de Madrid,1997,5
Mujeres,Todas las edades,Comunidad de Madrid,1996,4
Mujeres,Todas las edades,Comunidad de Madrid,1995,3
Mujeres,Todas las edades,Comunidad de Madrid,1994,3
Mujeres,Todas las edades,Comunidad de Madrid,1993,5
Mujeres,Todas las edades,Comunidad de Madrid,1992,12
Mujeres,Todas las edades,Comunidad de Madrid,1991,17
Mujeres,Todas las edades,Comunidad de Madrid,1990,12
Mujeres,Todas las edades,Comunidad de Madrid,1989,8
Mujeres,Todas las edades,Comunidad de Madrid,1988,13
Mujeres,Todas las edades,Comunidad de Madrid,1987,7
Mujeres,Todas las edades,Comunidad de Madrid,1986,2
Mujeres,Todas las edades,Comunidad de Madrid,1985,8
Mujeres,Todas las edades,Comunidad de Madrid,1984,19
Mujeres,Todas las edades,Comunidad de Madrid,1983,41
Mujeres,Todas las edades,Comunidad de Madrid,1982,16
Mujeres,Todas las edades,Comunidad de Madrid,1981,17
Mujeres,Todas las edades,Comunidad de Madrid,1980,21
Mujeres,Todas las edades,Región de Murcia,2022,3
Mujeres,Todas las edades,Región de Murcia,2021,4
Mujeres,Todas las edades,Región de Murcia,2020,4
Mujeres,Todas las edades,Región de Murcia,2019,1
Mujeres,Todas las edades,Región de Murcia,2018,4
Mujeres,Todas las edades,Región de Murcia,2017,4
Mujeres,Todas las edades,Región de Murcia,2016,5
Mujeres,Todas las edades,Región de Murcia,2015,2
Mujeres,Todas las edades,Región de Murcia,2014,1
Mujeres,Todas las edades,Región de Murcia,2013,6
Mujeres,Todas las edades,Región de Murcia,2012,1
Mujeres,Todas las edades,Región de Murcia,2011,1
Mujeres,Todas las edades,Región de Murcia,2010,1
Mujeres,Todas las edades,Región de Murcia,2009,1
Mujeres,Todas las edades,Región de Murcia,2008,1
Mujeres,Todas las edades,Región de Murcia,2007,1
Mujeres,Todas las edades,Región de Murcia,2006,2
Mujeres,Todas las edades,Región de Murcia,2005,1
Mujeres,Todas las edades,Región de Murcia,2004,1
Mujeres,Todas las edades,Región de Murcia,2003,4
Mujeres,Todas las edades,Región de Murcia,2002,5
Mujeres,Todas las edades,Región de Murcia,2001,2
Mujeres,Todas las edades,Región de Murcia,2000,2
Mujeres,Todas las edades,Región de Murcia,1999,5
Mujeres,Todas las edades,Región de Murcia,1998,2
Mujeres,Todas las edades,Región de Murcia,1997,1
Mujeres,Todas las edades,Región de Murcia,1996,3
Mujeres,Todas las edades,Región de Murcia,1995,5
Mujeres,Todas las edades,Región de Murcia,1994,3
Mujeres,Todas las edades,Región de Murcia,1993,1
Mujeres,Todas las edades,Región de Murcia,1992,3
Mujeres,Todas las edades,Región de Murcia,1991,3
Mujeres,Todas las edades,Región de Murcia,1990,0
Mujeres,Todas las edades,Región de Murcia,1989,7
Mujeres,Todas las edades,Región de Murcia,1988,2
Mujeres,Todas las edades,Región de Murcia,1987,3
Mujeres,Todas las edades,Región de Murcia,1986,4
Mujeres,Todas las edades,Región de Murcia,1985,4
Mujeres,Todas las edades,Región de Murcia,1984,4
Mujeres,Todas las edades,Región de Murcia,1983,3
Mujeres,Todas las edades,Región de Murcia,1982,2
Mujeres,Todas las edades,Región de Murcia,1981,1
Mujeres,Todas las edades,Región de Murcia,1980,7
Mujeres,Todas las edades,Comunidad Foral de Navarra,2022,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,2021,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2020,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2019,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2018,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,2017,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2016,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,2015,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2014,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2013,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,2012,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2011,3
Mujeres,Todas las edades,Comunidad Foral de Navarra,2010,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2009,3
Mujeres,Todas las edades,Comunidad Foral de Navarra,2008,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2007,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2006,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,2005,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,2004,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,2003,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,2002,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,2001,3
Mujeres,Todas las edades,Comunidad Foral de Navarra,2000,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,1999,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,1998,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,1997,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,1996,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,1995,5
Mujeres,Todas las edades,Comunidad Foral de Navarra,1994,4
Mujeres,Todas las edades,Comunidad Foral de Navarra,1993,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,1992,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,1991,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,1990,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,1989,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,1988,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,1987,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,1986,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,1985,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,1984,0
Mujeres,Todas las edades,Comunidad Foral de Navarra,1983,2
Mujeres,Todas las edades,Comunidad Foral de Navarra,1982,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,1981,1
Mujeres,Todas las edades,Comunidad Foral de Navarra,1980,4
Mujeres,Todas las edades,País Vasco,2022,3
Mujeres,Todas las edades,País Vasco,2021,1
Mujeres,Todas las edades,País Vasco,2020,4
Mujeres,Todas las edades,País Vasco,2019,1
Mujeres,Todas las edades,País Vasco,2018,0
Mujeres,Todas las edades,País Vasco,2017,3
Mujeres,Todas las edades,País Vasco,2016,2
Mujeres,Todas las edades,País Vasco,2015,1
Mujeres,Todas las edades,País Vasco,2014,2
Mujeres,Todas las edades,País Vasco,2013,2
Mujeres,Todas las edades,País Vasco,2012,3
Mujeres,Todas las edades,País Vasco,2011,3
Mujeres,Todas las edades,País Vasco,2010,6
Mujeres,Todas las edades,País Vasco,2009,5
Mujeres,Todas las edades,País Vasco,2008,1
Mujeres,Todas las edades,País Vasco,2007,2
Mujeres,Todas las edades,País Vasco,2006,3
Mujeres,Todas las edades,País Vasco,2005,5
Mujeres,Todas las edades,País Vasco,2004,4
Mujeres,Todas las edades,País Vasco,2003,3
Mujeres,Todas las edades,País Vasco,2002,3
Mujeres,Todas las edades,País Vasco,2001,2
Mujeres,Todas las edades,País Vasco,2000,0
Mujeres,Todas las edades,País Vasco,1999,4
Mujeres,Todas las edades,País Vasco,1998,10
Mujeres,Todas las edades,País Vasco,1997,2
Mujeres,Todas las edades,País Vasco,1996,3
Mujeres,Todas las edades,País Vasco,1995,5
Mujeres,Todas las edades,País Vasco,1994,2
Mujeres,Todas las edades,País Vasco,1993,4
Mujeres,Todas las edades,País Vasco,1992,4
Mujeres,Todas las edades,País Vasco,1991,8
Mujeres,Todas las edades,País Vasco,1990,4
Mujeres,Todas las edades,País Vasco,1989,5
Mujeres,Todas las edades,País Vasco,1988,5
Mujeres,Todas las edades,País Vasco,1987,2
Mujeres,Todas las edades,País Vasco,1986,8
Mujeres,Todas las edades,País Vasco,1985,4
Mujeres,Todas las edades,País Vasco,1984,3
